"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2022-23","Fall","MKTG","4404","Field Practicum in Marketing","Wertalik","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","87979","  3"
"2022-23","Fall","MKTG","5984","SS:Digital MKTG & Social Media","Wang","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","91970","  3"
"2022-23","Spring","BIT","4484","Project Management","Monday","3.22","0","60","20","0","0","0","0","20","0","0","0","0","0","5","11918","  3"
"2022-23","Spring","MGT","6224","Appl Meas in Bus Research","Kumar","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","17975","  3"
"2022-23","Spring","MKTG","4404","Field Practicum in Marketing","Wertalik","3.86","80","0","20","0","0","0","0","0","0","0","0","0","0","5","18056","  3"
"2022-23","Spring","MGT","6024","Foundations of Mgt Theory","Townsend","3.74","60","20","0","20","0","0","0","0","0","0","0","0","0","5","20988","  3"
"2022-23","Spring","BIT","6424","Theory Building Seminar in BIT","Lowry","3.62","40","40","0","0","20","0","0","0","0","0","0","0","0","5","21810","  3"
"2023-24","Fall","ACIS","3554","Networks, Telecom, & Security","Romero-Masters","3.52","40","0","40","20","0","0","0","0","0","0","0","0","0","5","80159","  3"
"2023-24","Fall","MKTG","6234","Experimental Business Research","Pandelaere","3.66","40","20","40","0","0","0","0","0","0","0","0","0","0","5","88034","  3"
"2023-24","Fall","MGT","1104","Foundations of Business","Poff","2.26","20","0","0","40","0","0","0","0","20","0","0","20","0","5","92061","  3"
"2016-17","Spring","ACIS","5604","Accounting Fundamentals","Salbador","3.55","37.5","25","0","37.5","0","0","0","0","0","0","0","0","0","8","10189","  2"
"2016-17","Spring","BIT","4974","Independent Study","Abrahams","3.94","83.3","16.7","0","0","0","0","0","0","0","0","0","0","0","6","11364","  1"
"2016-17","Spring","BIT","4974","Independent Study","Rees","3.94","83.3","16.7","0","0","0","0","0","0","0","0","0","0","0","6","11364","  1"
"2016-17","Spring","BIT","4974","Independent Study","Shen","3.94","83.3","16.7","0","0","0","0","0","0","0","0","0","0","0","6","11364","  1"
"2016-17","Spring","BIT","4974","Independent Study","Tegarden","3.94","83.3","16.7","0","0","0","0","0","0","0","0","0","0","0","6","11364","  1"
"2016-17","Spring","BIT","4974","Independent Study","Zobel","3.94","83.3","16.7","0","0","0","0","0","0","0","0","0","0","0","6","11364","  1"
"2016-17","Spring","BIT","5604","Mod Decis Mkng for Comp Advntg","Rashidi","3.79","62.5","12.5","25","0","0","0","0","0","0","0","0","0","0","8","11374","  2"
"2016-17","Spring","BIT","5644","Mgt of Info for Bus Decisions","Abrahams","3.71","50","25","12.5","12.5","0","0","0","0","0","0","0","0","0","8","11375","  2"
"2016-17","Spring","FIN","5604","Financial & Econ Environment","Kumar","3.61","37.5","12.5","50","0","0","0","0","0","0","0","0","0","0","8","14184","  2"
"2016-17","Spring","MGT","5614","Designing & Managing Orgs","Gittens","3.72","37.5","50","0","12.5","0","0","0","0","0","0","0","0","0","8","16008","  2"
"2017-18","Spring","ACIS","5704","Manag Info Exec Decis Making","Ombac","3.29","37.5","0","12.5","37.5","0","0","12.5","0","0","0","0","0","0","8","10188","  2"
"2019-20","Spring","ACIS","5614","Implementing Mgt Controls","Bhattacharjee","3.66","37.5","25","37.5","0","0","0","0","0","0","0","0","0","0","8","10208","  2"
"2019-20","Spring","FIN","5654","Principles of Financial Mgmt","Billingsley","3.67","37.5","37.5","12.5","12.5","0","0","0","0","0","0","0","0","0","8","14943","  2"
"2019-20","Spring","FIN","5654","Principles of Financial Mgmt","Easterwood","3.92","75","25","0","0","0","0","0","0","0","0","0","0","0","8","14944","  2"
"2019-20","Spring","MGT","5854","Ethics and Ldrshp in Globl Env","Simpson","3.8","50","37.5","12.5","0","0","0","0","0","0","0","0","0","0","8","17308","  2"
"2019-20","Spring","MKTG","5204","Consumer Behavior","Sirgy","3.85","50","50","0","0","0","0","0","0","0","0","0","0","0","8","20722","  2"
"2020-21","Fall","MGT","4945","Executive Ldrshp for Cadets","Humphrey","3.57","56.3","18.8","6.3","6.3","6.3","0","0","0","0","6.3","0","0","0","16","88178","  1"
"2021-22","Spring","BIT","5624","Project Management","Hall","3.84","62.5","25","12.5","0","0","0","0","0","0","0","0","0","0","8","21597","  2"
"2022-23","Fall","MGT","2984","SS: Entrepreneurial Leadership","Townsend","3.78","64.7","11.8","17.6","5.9","0","0","0","0","0","0","0","0","0","17","92605","  1"
"2016-17","Fall","BIT","3434","Adv Modeling for Bus Analytics","Badinelli","3.28","66.7","0","0","16.7","0","0","0","0","0","0","16.7","0","0","6","81263","  3"
"2016-17","Fall","MGT","5604","Team Building","Gittens","3.55","16.7","33.3","50","0","0","0","0","0","0","0","0","0","0","18","85923","  1"
"2016-17","Fall","FIN","2114","Invest & Financial Literacy","Carter","3.5","16.7","33.3","33.3","16.7","0","0","0","0","0","0","0","0","0","6","89095","  3"
"2016-17","Fall","MKTG","6204","Judgment and Decision Making","Bagchi","3.85","50","50","0","0","0","0","0","0","0","0","0","0","0","6","89187","  3"
"2016-17","Fall","FIN","4104","Retirement Planning","Klock","1.88","0","0","16.7","0","16.7","16.7","0","16.7","16.7","0","0","16.7","0","6","89574","  3"
"2016-17","Spring","MKTG","4404","Field Practicum In Marketing","Wertalik","3.95","83.3","16.7","0","0","0","0","0","0","0","0","0","0","0","6","16069","  3"
"2016-17","Spring","MGT","6984","SS: Measurement in Bus Rsrch","Beal","3.73","50","33.3","0","16.7","0","0","0","0","0","0","0","0","0","6","19670","  3"
"2017-18","Fall","ACIS","4554","Networks & Telecomm Business","Shen","2.7","0","0","16.7","33.3","0","50","0","0","0","0","0","0","0","6","80166","  3"
"2017-18","Fall","MKTG","4994","Honors Undergraduate Research","May","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","86192","  3"
"2017-18","Fall","MKTG","6304","Sem In Buyer Beh Res","May","3.85","50","50","0","0","0","0","0","0","0","0","0","0","0","6","89917","  3"
"2017-18","Fall","FIN","6984","SS:Financial Rsrch Methodology","Kumar","3.73","33.3","50","16.7","0","0","0","0","0","0","0","0","0","0","6","90057","  3"
"2017-18","Fall","MKTG","6984","SS:Exp Rsrch:Appr, Dsgn & Data","Pandelaere","3.83","66.7","16.7","16.7","0","0","0","0","0","0","0","0","0","0","6","90167","  3"
"2017-18","Fall","BIT","5984","SS: Cybersecurity Perspectives","Baker","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","90234","  3"
"2017-18","Spring","ACIS","4024","Info Sys Audit & Con","Barkhi","3.33","0","33.3","33.3","33.3","0","0","0","0","0","0","0","0","0","6","10150","  3"
"2017-18","Spring","ACIS","4684","IS Security and Assurance","Belanger","2.83","16.7","0","0","50","16.7","0","0","0","16.7","0","0","0","0","6","10165","  3"
"2017-18","Spring","ACIS","5104","Fundamentals of Accounting","Pevzner","3.55","33.3","16.7","33.3","16.7","0","0","0","0","0","0","0","0","0","6","10170","  3"
"2017-18","Spring","FIN","4214","Financial Modeling in Excel","Spicer","3.33","16.7","16.7","33.3","16.7","16.7","0","0","0","0","0","0","0","0","6","14362","  3"
"2017-18","Spring","FIN","5124","Inv Analysis/Portfolio Mgt","Lin","3.83","66.7","16.7","16.7","0","0","0","0","0","0","0","0","0","0","6","14382","  3"
"2017-18","Spring","FIN","5674","Investments and Portfolio Mgmt","Billingsley","3.03","0","11.1","33.3","44.4","0","0","0","11.1","0","0","0","0","0","9","14391","  2"
"2017-18","Spring","MKTG","4404","Field Practicum In Marketing","Collins","4","100","0","0","0","0","0","0","0","0","0","0","0","1","6","16336","  3"
"2017-18","Spring","MKTG","4404","Field Practicum In Marketing","Reilly","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","16338","  3"
"2017-18","Spring","MKTG","4994","Undergraduate Research","May","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","16367","  3"
